CustomerKey,FirstName,LastName,FullName,Age,MaritalStatus,Gender,DateFirstPurchase,CustomerCity
11023,Seth,Edwards,Seth Edwards,40,M,Male,2020-02-17,Bellflower
11024,Russell,Xie,Russell Xie,40,M,Male,2020-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,73,M,Male,2018-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,73,S,Male,2018-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,72,M,Male,2018-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,73,M,Female,2018-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,72,M,Male,2018-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,66,M,Female,2018-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,71,M,Female,2018-02-01,Matraville
11032,Denise,Stone,Denise Stone,72,M,Female,2018-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,66,M,Male,2018-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,72,M,Female,2018-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,71,M,Female,2018-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,40,M,Female,2020-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,41,S,Female,2020-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,71,M,Female,2018-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,70,M,Male,2018-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,42,M,Male,2020-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,41,M,Female,2020-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,42,M,Female,2020-01-21,Los Angeles
11043,Nathan,Simmons,Nathan Simmons,43,M,Male,2020-05-08,Glendale
11044,Adam,Flores,Adam Flores,70,M,Male,2018-02-28,Hervey Bay
11045,Leonard,Nara,Leonard Nara,69,S,Male,2020-04-10,Matraville
11046,Christine,Yuan,Christine Yuan,69,M,Female,2018-02-06,Lavender Bay
11047,Jaclyn,Lu,Jaclyn Lu,69,M,Female,2018-02-03,Geelong
11048,Jeremy,Powell,Jeremy Powell,68,M,Male,2018-02-10,Sunbury
11049,Carol,Rai,Carol Rai,39,S,Female,2020-03-09,Chula Vista
11050,Alan,Zheng,Alan Zheng,67,M,Male,2018-02-20,Hobart
11051,Daniel,Johnson,Daniel Johnson,68,S,Male,2020-12-29,Caloundra
11052,Heidi,Lopez,Heidi Lopez,67,S,Female,2018-02-17,Matraville
11053,Ana,Price,Ana Price,38,M,Female,2020-01-17,San Diego
11054,Deanna,Munoz,Deanna Munoz,67,M,Female,2018-02-03,Geelong
11055,Gilbert,Raje,Gilbert Raje,67,M,Male,2018-01-31,East Brisbane
11056,Michele,Nath,Michele Nath,66,M,Female,2018-02-26,Newcastle
11057,Carl,Andersen,Carl Andersen,54,M,Male,2018-02-22,Lane Cove
11058,Marc,Diaz,Marc Diaz,59,M,Male,2018-03-09,Findon
11059,Ashlee,Andersen,Ashlee Andersen,65,S,Female,2020-02-18,Townsville
11060,Jon,Zhou,Jon Zhou,65,M,Male,2018-03-19,Warrnambool
11061,Todd,Gao,Todd Gao,48,M,Male,2018-03-13,Gold Coast
11062,Noah,Powell,Noah Powell,43,M,Male,2020-01-07,Portland
11063,Angela,Murphy,Angela Murphy,44,S,Female,2020-01-12,Redmond
11064,Chase,Reed,Chase Reed,43,M,Male,2020-01-25,Downey
11065,Jessica,Henderson,Jessica Henderson,45,M,Female,2020-02-10,La Jolla
11066,Grace,Butler,Grace Butler,45,M,Female,2020-05-31,Lebanon
11067,Caleb,Carter,Caleb Carter,42,S,Male,2020-08-18,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,58,S,Female,2020-04-30,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,58,S,Female,2018-04-17,Gold Coast
11070,Willie,Raji,Willie Raji,64,M,Male,2018-04-28,Sunbury
11071,Linda,Serrano,Linda Serrano,64,S,Female,2020-03-01,Hawthorne
11072,Casey,Luo,Casey Luo,64,S,Female,2018-03-31,St. Leonards
11073,Amy,Ye,Amy Ye,62,S,Female,2020-03-23,Springwood
11074,Levi,Arun,Levi Arun,62,S,Male,2020-03-23,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,61,S,Female,2018-04-28,Bendigo
11076,Blake,Anderson,Blake Anderson,62,S,Male,2018-04-21,Wollongong
11077,Leah,Ye,Leah Ye,61,S,Female,2018-04-15,Melton
11078,Gina,Martin,Gina Martin,40,S,Female,2020-02-15,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,54,S,Male,2020-03-15,Geelong
11080,Damien,Chander,Damien Chander,60,M,Male,2018-04-10,Perth
11081,Savannah,Baker,Savannah Baker,53,M,Female,2020-02-12,Concord
11082,Angela,Butler,Angela Butler,52,S,Female,2020-01-22,Fremont
11083,Alyssa,Cox,Alyssa Cox,47,M,Female,2020-01-06,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,61,S,Male,2020-01-04,Lebanon
11085,Emily,Johnson,Emily Johnson,62,S,Female,2020-12-06,Newport Beach
11086,Ryan,Brown,Ryan Brown,61,M,Male,2020-07-02,Santa Monica
11087,Tamara,Liang,Tamara Liang,61,M,Female,2020-02-25,Chula Vista
11088,Hunter,Davis,Hunter Davis,61,M,Male,2020-01-13,San Diego
11089,Abigail,Price,Abigail Price,62,S,Female,2019-12-29,Long Beach
11090,Trevor,Bryant,Trevor Bryant,56,S,Male,2018-08-07,Los Angeles
11091,Dalton,Perez,Dalton Perez,62,M,Male,2020-01-29,Haney
11092,Cheryl,Diaz,Cheryl Diaz,52,M,Female,2018-04-08,East Brisbane
11093,Aimee,He,Aimee He,46,M,Female,2018-04-07,Wollongong
11094,Cedric,Ma,Cedric Ma,57,S,Male,2020-04-07,Cranbourne
11095,Chad,Kumar,Chad Kumar,56,S,Male,2018-04-01,Port Macquarie
11096,Andrés,Anand,Andrés Anand,56,M,Male,2018-04-11,North Sydney
11097,Edwin,Nara,Edwin Nara,52,M,Male,2018-04-04,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,58,S,Female,2020-02-11,Rhodes
11099,Adam,Ross,Adam Ross,58,M,Male,2018-04-07,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,58,S,Female,2018-04-16,Cloverdale
11101,Abby,Sai,Abby Sai,54,S,Female,2018-04-29,Cranbourne
11102,Julia,Nelson,Julia Nelson,54,S,Female,2020-07-16,Sydney
11103,Cassie,Chande,Cassie Chande,43,S,Female,2018-04-15,Darlinghurst
11104,Edgar,Sara,Edgar Sara,49,M,Male,2018-05-04,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,54,S,Female,2018-05-14,Matraville
11106,Jessie,Liu,Jessie Liu,54,S,Male,2018-05-18,Warrnambool
11107,Bianca,Lin,Bianca Lin,48,M,Female,2018-05-01,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,56,S,Female,2018-05-03,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,44,S,Male,2018-05-10,South Melbourne
11110,Curtis,Yang,Curtis Yang,57,M,Male,2018-05-01,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,57,M,Female,2018-05-20,Geelong
11112,Crystal,Wang,Crystal Wang,56,M,Female,2018-05-25,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,51,M,Male,2020-02-01,Perth
11114,Leslie,Moreno,Leslie Moreno,57,S,Female,2020-03-18,Rhodes
11115,Alvin,Cai,Alvin Cai,57,M,Male,2020-02-10,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,45,M,Male,2020-03-15,Sydney
11117,April,Deng,April Deng,58,M,Female,2018-05-06,Matraville
11118,Alvin,Zeng,Alvin Zeng,62,S,Male,2020-07-10,Lavender Bay
11119,Evan,James,Evan James,84,S,Male,2020-02-03,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,82,S,Female,2018-05-14,Sydney
11121,Orlando,Suarez,Orlando Suarez,58,M,Male,2020-06-24,Newcastle
11122,Byron,Vazquez,Byron Vazquez,59,M,Male,2020-02-21,North Sydney
11123,Philip,Alvarez,Philip Alvarez,59,M,Male,2020-04-17,Sunbury
11124,Ross,Jordan,Ross Jordan,56,S,Male,2018-05-05,Warrnambool
11125,Dana,Navarro,Dana Navarro,63,S,Female,2020-01-31,Seaford
11126,Shaun,Carson,Shaun Carson,70,M,Male,2018-05-28,North Ryde
11127,Jan,Edwards,Jan Edwards,43,M,Female,2020-04-10,San Gabriel
11128,Samantha,Long,Samantha Long,43,M,Female,2020-06-19,Renton
11129,Julia,Wright,Julia Wright,43,S,Female,2018-08-06,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,39,M,Female,2020-12-09,Lebanon
11131,Amanda,Rivera,Amanda Rivera,39,M,Female,2020-10-18,Haney
11132,Melissa,Richardson,Melissa Richardson,38,S,Female,2020-04-09,Langford
11133,Angela,Griffin,Angela Griffin,38,S,Female,2020-12-30,Lake Oswego
11134,Larry,Townsend,Larry Townsend,67,S,Male,2018-05-03,Perth
11135,Marcus,Harris,Marcus Harris,39,S,Male,2020-04-18,Burlingame
11136,Brianna,Morgan,Brianna Morgan,40,S,Female,2020-01-03,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,41,M,Female,2020-07-31,Spokane
11138,Lauren,Davis,Lauren Davis,40,M,Female,2020-09-19,Glendale
11139,Tanya,Moreno,Tanya Moreno,75,S,Female,2020-09-14,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,42,S,Male,2020-03-19,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,42,M,Female,2020-05-16,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,41,S,Male,2020-02-13,Langford
11143,Jonathan,Henderson,Jonathan Henderson,42,M,Male,2020-06-15,Lakewood
11144,Edward,Hernandez,Edward Hernandez,39,S,Male,2020-01-25,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,39,S,Female,2020-01-25,Beaverton
11146,Karla,Goel,Karla Goel,79,S,Female,2020-02-05,Matraville
11147,Ernest,Wu,Ernest Wu,80,M,Male,2018-05-13,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,77,M,Male,2020-03-07,East Brisbane
11149,Theodore,Gill,Theodore Gill,78,M,Male,2020-06-04,Hervey Bay
11150,Russell,Shen,Russell Shen,78,S,Male,2020-03-27,Sunbury
11151,Melinda,Gill,Melinda Gill,77,S,Female,2018-05-15,Sydney
11152,James,Williams,James Williams,43,S,Male,2020-01-09,Puyallup
11153,Angela,James,Angela James,43,M,Female,2020-03-29,Renton
11154,Megan,Walker,Megan Walker,42,S,Female,2020-01-10,Woodburn
11155,Hunter,Robinson,Hunter Robinson,43,S,Male,2020-01-06,Burbank
11156,Maria,Roberts,Maria Roberts,43,S,Female,2020-01-08,Lakewood
11157,Hannah,Long,Hannah Long,44,M,Female,2020-07-24,Tacoma
11158,Jason,Wright,Jason Wright,43,S,Male,2020-01-19,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,43,S,Female,2020-09-08,Woodland Hills
11160,Maurice,Tang,Maurice Tang,45,S,Male,2020-02-21,Concord
11161,Emily,Wood,Emily Wood,45,S,Female,2020-06-01,Concord
11162,Chase,Cox,Chase Cox,45,S,Male,2020-02-18,La Jolla
11163,Gabriel,Wang,Gabriel Wang,44,M,Male,2020-05-01,Spring Valley
11164,Devin,Brooks,Devin Brooks,45,S,Male,2020-04-27,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,46,M,Female,2020-05-25,Oakland
11166,Ashley,Martinez,Ashley Martinez,47,S,Female,2020-10-14,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,47,S,Female,2020-01-07,Issaquah
11168,David,Rodriguez,David Rodriguez,51,S,Male,2020-01-15,Oakland
11169,Bryce,Richardson,Bryce Richardson,51,M,Male,2020-05-26,Coronado
11170,Carol,Howard,Carol Howard,51,M,Female,2020-08-26,Burien
11171,Jonathan,Hill,Jonathan Hill,46,S,Male,2018-08-20,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,51,M,Female,2020-05-03,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,51,S,Female,2020-03-02,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,52,M,Male,2020-07-13,Los Angeles
11175,Luis,Wang,Luis Wang,56,S,Male,2018-08-28,Beverly Hills
11176,Mason,Roberts,Mason Roberts,46,M,Male,2020-02-02,Haney
11177,Jose,Flores,Jose Flores,77,M,Male,2020-03-29,San Diego
11178,Nathan,Johnson,Nathan Johnson,70,M,Male,2020-02-21,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,65,M,Female,2020-03-12,Beverly Hills
11180,April,Anand,April Anand,76,M,Female,2020-03-17,Chula Vista
11181,Devin,Martin,Devin Martin,64,M,Male,2020-05-07,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,74,S,Female,2020-08-28,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,75,S,Female,2020-04-30,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,69,S,Female,2020-08-10,Concord
11185,Ashley,Henderson,Ashley Henderson,74,S,Female,2020-02-21,Metchosin
11186,Sarah,Price,Sarah Price,75,S,Female,2020-10-18,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,75,M,Female,2020-04-03,Burien
11188,Catherine,Morris,Catherine Morris,74,M,Female,2020-11-01,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,75,S,Male,2018-08-26,Bellingham
11190,Carson,Bryant,Carson Bryant,75,M,Male,2020-08-28,Beverly Hills
11191,Kristi,Perez,Kristi Perez,73,S,Female,2018-08-11,Colma
11192,James,Brown,James Brown,73,M,Male,2020-06-23,Seattle
11193,Ian,Gray,Ian Gray,74,M,Male,2020-02-25,Woodburn
11194,Jacqueline,Price,Jacqueline Price,74,M,Female,2020-03-13,Palo Alto
11195,Megan,Henderson,Megan Henderson,73,M,Female,2020-04-14,Renton
11196,Alfredo,Romero,Alfredo Romero,73,M,Male,2020-03-03,Beaverton
11197,Andrea,Morris,Andrea Morris,73,M,Female,2020-05-02,Seattle
11198,Brooke,Sanders,Brooke Sanders,72,S,Female,2020-02-05,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,67,M,Female,2020-03-18,Burlingame
11200,Jason,Griffin,Jason Griffin,71,M,Male,2020-02-07,Victoria
11201,Amanda,Foster,Amanda Foster,71,M,Female,2020-07-01,Santa Monica
11202,Alexia,Price,Alexia Price,66,M,Female,2020-09-15,Lakewood
11203,Luis,Diaz,Luis Diaz,65,M,Male,2020-02-20,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,71,M,Female,2020-08-09,Beaverton
11205,Abby,Fernandez,Abby Fernandez,71,M,Female,2020-07-27,Burien
11206,Blake,Flores,Blake Flores,70,M,Male,2020-05-11,Lynnwood
11207,Danielle,Cox,Danielle Cox,71,S,Female,2020-01-31,Renton
11208,Maria,Reed,Maria Reed,71,M,Female,2020-03-04,Glendale
11209,Allison,Evans,Allison Evans,71,M,Female,2020-03-25,Lincoln Acres
11210,Edward,Wood,Edward Wood,71,M,Male,2020-05-06,West Covina
11211,Samantha,Russell,Samantha Russell,64,M,Female,2020-02-01,Haney
11212,Chloe,Campbell,Chloe Campbell,69,M,Female,2020-01-30,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,70,S,Female,2020-03-28,Edmonds
11214,Charles,Miller,Charles Miller,69,S,Male,2020-08-14,Milwaukie
11215,Ana,Perry,Ana Perry,63,M,Female,2020-02-15,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,69,S,Female,2018-08-15,Portland
11217,Natalie,Adams,Natalie Adams,69,S,Female,2018-08-10,Portland
11218,Olivia,Brown,Olivia Brown,63,S,Female,2020-02-28,Tacoma
11219,Charles,Cook,Charles Cook,68,M,Male,2020-10-29,Woodburn
11220,Erica,Huang,Erica Huang,63,M,Female,2020-03-14,Colma
11221,Nathan,Perry,Nathan Perry,69,M,Male,2020-04-07,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,68,M,Female,2020-11-01,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,67,S,Female,2020-01-29,Langley
11224,Tiffany,Li,Tiffany Li,67,S,Female,2018-08-07,Burien
11225,Madison,Lee,Madison Lee,62,M,Female,2020-06-22,Renton
11226,Sydney,Ross,Sydney Ross,62,M,Female,2020-02-21,W. Linn
11227,Marshall,Chavez,Marshall Chavez,62,S,Male,2018-08-03,Colma
11228,Ashley,Jones,Ashley Jones,68,M,Female,2020-10-25,El Cajon
11229,Adrian,Stewart,Adrian Stewart,67,S,Male,2020-07-27,Redwood City
11230,Amber,Turner,Amber Turner,68,M,Female,2020-07-16,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,61,M,Male,2020-02-10,Bremerton
11232,Hailey,Bryant,Hailey Bryant,66,M,Female,2020-09-20,Everett
11233,Todd,Li,Todd Li,61,M,Male,2020-02-08,Berkeley
11234,Anna,Griffin,Anna Griffin,66,S,Female,2020-02-08,Long Beach
11235,Angel,Stewart,Angel Stewart,67,M,Male,2020-07-04,Ballard
11236,Jeremy,Butler,Jeremy Butler,67,S,Male,2020-10-03,Bellingham
11237,Clarence,Anand,Clarence Anand,60,S,Male,2018-09-05,Solingen
11238,Mayra,Prasad,Mayra Prasad,60,S,Female,2018-01-06,Birmingham
11239,Latoya,Goel,Latoya Goel,55,M,Female,2018-01-19,London
11240,Anne,Hernandez,Anne Hernandez,60,M,Female,2018-02-27,Watford
11241,Lisa,Cai,Lisa Cai,50,S,Female,2019-09-10,Les Ulis
11242,Larry,Munoz,Larry Munoz,61,M,Male,2019-09-19,Versailles
11243,Robin,Alvarez,Robin Alvarez,61,M,Female,2018-02-21,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,56,S,Female,2018-02-12,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,62,M,Male,2018-09-26,Hamburg
11246,Latasha,Rubio,Latasha Rubio,62,M,Female,2018-10-03,Hamburg
11247,Claudia,Zhou,Claudia Zhou,63,S,Female,2018-02-18,Lancaster
11248,Tristan,Alexander,Tristan Alexander,58,M,Male,2020-07-14,Saint-Denis
11249,Cindy,Patel,Cindy Patel,58,M,Female,2018-10-09,Sulzbach Taunus
11250,Shannon,Liu,Shannon Liu,58,M,Female,2018-03-17,Woolston
11251,Xavier,Long,Xavier Long,87,S,Male,2020-10-18,Haney
11252,Nicholas,Thompson,Nicholas Thompson,87,S,Male,2018-08-14,Lemon Grove
11253,José,Hernandez,José Hernandez,75,M,Male,2020-03-01,Victoria
11254,Johnathan,Vance,Johnathan Vance,86,M,Male,2020-11-23,Burien
11255,Colin,Lin,Colin Lin,86,M,Male,2020-02-23,Burien
11256,Katelyn,Hernandez,Katelyn Hernandez,85,M,Female,2020-04-15,Lynnwood
11257,Jacqueline,Powell,Jacqueline Powell,86,S,Female,2018-08-24,Newport Beach
11258,Xavier,Hill,Xavier Hill,86,M,Male,2020-05-21,Palo Alto
11259,Victoria,Stewart,Victoria Stewart,54,M,Female,2018-09-04,Salem
11260,Katelyn,Kelly,Katelyn Kelly,48,M,Female,2020-02-05,Burlingame
11261,Stephanie,Collins,Stephanie Collins,54,M,Female,2018-09-27,San Diego
11262,Jennifer,Simmons,Jennifer Simmons,49,M,Female,2020-02-27,Port Hammond
11263,Trinity,Richardson,Trinity Richardson,54,M,Female,2018-08-29,Burien
11264,Eduardo,Martin,Eduardo Martin,55,S,Male,2020-01-02,Issaquah
11265,Elizabeth,Jones,Elizabeth Jones,55,M,Female,2020-01-03,Kirkland
11266,Taylor,Howard,Taylor Howard,55,S,Female,2018-09-10,Port Orchard
11267,David,Diaz,David Diaz,49,S,Male,2018-09-17,Burlingame
11268,Katelyn,Carter,Katelyn Carter,55,M,Female,2020-05-29,Coronado
11269,Ryan,Foster,Ryan Foster,49,M,Male,2020-08-22,Daly City
11270,Robert,Lee,Robert Lee,49,M,Male,2018-09-10,Lakewood
11271,Danielle,Reed,Danielle Reed,55,S,Female,2018-09-27,San Francisco
11272,Lauren,Martinez,Lauren Martinez,62,S,Female,2018-09-19,Beverly Hills
11273,Nathan,Lal,Nathan Lal,62,M,Male,2020-05-14,La Jolla
11274,Kyle,Foster,Kyle Foster,85,M,Male,2018-08-29,Bellingham
11275,Jenny,Rai,Jenny Rai,85,M,Female,2018-08-30,Colma
11276,Nancy,Chapman,Nancy Chapman,50,M,Female,2020-01-29,Cliffside
11277,Charles,Jackson,Charles Jackson,56,M,Male,2020-02-02,Royal Oak
11278,Jonathan,Phillips,Jonathan Phillips,55,S,Male,2018-09-16,Edmonds
11279,Amanda,Cook,Amanda Cook,50,M,Female,2020-03-03,Everett
11280,Robert,Collins,Robert Collins,55,M,Male,2020-07-01,Lynnwood
11281,Megan,Barnes,Megan Barnes,50,S,Female,2018-09-13,Burbank
11282,Christian,Thomas,Christian Thomas,57,M,Male,2018-08-31,Burien
11283,Arturo,Lal,Arturo Lal,56,M,Male,2020-05-29,Berkeley
11284,Theresa,Serrano,Theresa Serrano,57,M,Female,2020-02-06,Chula Vista
11285,Jeremy,Anderson,Jeremy Anderson,51,M,Male,2020-07-27,Fremont
11286,Hunter,Griffin,Hunter Griffin,57,M,Male,2018-09-21,Torrance
11287,Henry,Garcia,Henry Garcia,58,M,Male,2020-01-29,Cliffside
11288,Cindy,Sanchez,Cindy Sanchez,46,M,Female,2020-03-05,Burbank
11289,Maria,Carter,Maria Carter,52,M,Female,2018-09-08,Downey
11290,Katelyn,Sanchez,Katelyn Sanchez,52,M,Female,2018-09-20,Lakewood
11291,Jenna,Wright,Jenna Wright,52,M,Female,2018-09-04,Lemon Grove
11292,Seth,Phillips,Seth Phillips,57,S,Male,2018-09-15,San Gabriel
11293,Luke,Long,Luke Long,64,S,Male,2020-02-24,Port Orchard
11294,Dalton,Clark,Dalton Clark,63,M,Male,2020-09-25,Issaquah
11295,Taylor,Lewis,Taylor Lewis,65,S,Female,2018-09-25,Concord
11296,Haley,Richardson,Haley Richardson,83,S,Female,2018-09-01,Everett
11297,Noah,Coleman,Noah Coleman,84,S,Male,2018-09-26,Burbank
11298,Jon,Luo,Jon Luo,84,M,Male,2018-09-12,Chula Vista
11299,Orlando,Vazquez,Orlando Vazquez,83,M,Male,2018-09-26,Burbank
11300,Fernando,Barnes,Fernando Barnes,59,M,Male,2020-01-31,N. Vancouver
11301,Cameron,Rodriguez,Cameron Rodriguez,59,M,Male,2020-06-09,Ballard
11302,Spencer,Russell,Spencer Russell,53,S,Male,2018-09-06,Corvallis
11303,Julia,Coleman,Julia Coleman,58,S,Female,2018-09-02,Edmonds
11304,Julia,Garcia,Julia Garcia,53,M,Female,2020-03-20,Portland
11305,Sean,Evans,Sean Evans,59,M,Male,2020-03-25,Chula Vista
11306,Micah,Zhou,Micah Zhou,59,M,Male,2020-06-30,Coronado
11307,Hunter,Rodriguez,Hunter Rodriguez,59,M,Male,2018-09-04,Daly City
11308,Ian,Gonzales,Ian Gonzales,65,M,Male,2020-09-07,Oregon City
11309,Victoria,Lewis,Victoria Lewis,65,S,Female,2020-07-09,Beaverton
11310,Erin,Sanders,Erin Sanders,60,S,Female,2020-08-12,San Francisco
11311,Gabrielle,Lopez,Gabrielle Lopez,65,S,Female,2020-04-18,Lynnwood
11312,Sara,Richardson,Sara Richardson,66,S,Female,2020-05-17,Lynnwood
11313,Trevor,Jenkins,Trevor Jenkins,66,S,Male,2020-05-07,Port Orchard
11314,Mya,Flores,Mya Flores,54,S,Female,2020-02-25,Issaquah
11315,Hailey,Ward,Hailey Ward,65,S,Female,2020-05-20,Port Orchard
11316,Luke,Allen,Luke Allen,65,M,Male,2020-01-12,Langford
11317,Victoria,Russell,Victoria Russell,61,S,Female,2018-09-01,Salem
11318,Jessica,Wilson,Jessica Wilson,66,S,Female,2020-10-17,Edmonds
11319,Jade,Bailey,Jade Bailey,76,M,Female,2018-09-09,Oakland
11320,Morgan,Hill,Morgan Hill,82,M,Female,2020-06-15,Glendale
11321,Terrance,Raman,Terrance Raman,81,M,Male,2020-02-23,Burien
11322,Sydney,Garcia,Sydney Garcia,81,M,Female,2020-03-24,Bremerton
11323,Jose,Patterson,Jose Patterson,81,S,Male,2018-09-10,Daly City
11324,Zachary,Anderson,Zachary Anderson,80,M,Male,2018-09-26,Glendale
11325,Elijah,Ross,Elijah Ross,80,S,Male,2018-09-19,Seattle
11326,Rafael,Xie,Rafael Xie,80,M,Male,2018-09-15,Beverly Hills
11327,Jaime,Moreno,Jaime Moreno,79,M,Male,2018-09-26,Burbank
11328,Julian,Griffin,Julian Griffin,79,M,Male,2020-01-05,Newton
11329,Andy,Alvarez,Andy Alvarez,79,S,Male,2018-09-25,Concord
11330,Ryan,Thompson,Ryan Thompson,79,M,Male,2020-02-12,Oak Bay
11331,Samantha,Jenkins,Samantha Jenkins,51,M,Female,2020-02-07,Shawnee
11332,Deanna,Ramos,Deanna Ramos,56,S,Female,2018-10-15,Berlin
11333,Emily,Miller,Emily Miller,57,M,Female,2018-03-21,Newcastle upon Tyne
11334,Nicole,Brown,Nicole Brown,58,M,Female,2018-03-04,Stoke-on-Trent
11335,Carla,Raman,Carla Raman,47,M,Female,2018-10-23,Hof
11336,Shaun,Raji,Shaun Raji,51,M,Male,2019-09-27,Paris
11337,Jerome,Romero,Jerome Romero,57,M,Male,2018-03-09,Watford
11338,Frank,Navarro,Frank Navarro,52,M,Male,2018-10-11,Bonn
11339,Dennis,She,Dennis She,58,S,Male,2019-10-07,Paris
11340,Melody,Munoz,Melody Munoz,77,M,Female,2019-10-27,Paris
11341,Randy,Zeng,Randy Zeng,82,M,Male,2018-04-11,Cheltenham
